data,stat,n,p,sample.fraction,min.node.size,mtry,alpha,imbalance.penalty,tuned,method,value
athey2017estimation2,mse,2000,10,0.5,0.427161460742354,0.823791434988379,0.751065796706825,0.531815877882764,1,kriging,1.76355718600074
athey2017estimation2,mse,2000,10,0.5,0.00925889611244202,0.757144002476707,0.763510602759197,0.448817173717543,1,earth,1.76333963215115
athey2017estimation2,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0612332363474993
xlearners4,mse,500,10,0.5,0.153473546728492,0.659258456435055,0.190436163917184,0.937275352654979,1,kriging,0.0112689882472168
xlearners4,mse,500,10,0.5,0.0450201572384685,0.848061105236411,0.948908661259338,0.999423061497509,1,earth,0.00422053590260372
xlearners4,mse,500,10,0.5,5,10,0.05,0,0,notune,0.00871196779531521
athey2015machine1,mse,500,10,0.5,0.264420573366806,0.849516029004008,0.366189819760621,0.586585992248729,1,kriging,0.207803927858588
athey2015machine1,mse,500,10,0.5,0.00493155349977314,0.979288204107434,0.810034170979634,0.165253479266539,1,earth,0.01877674453212
athey2015machine1,mse,500,10,0.5,5,10,0.05,0,0,notune,2.69152893716553
xlearners4,mse,2000,10,0.5,0.176857208600268,0.82561821420677,0.0676172387320548,0.969974883366376,1,kriging,0.000759576148643996
xlearners4,mse,2000,10,0.5,0.109451931668445,0.9050492499955,0.025565299205482,0.983468663878739,1,earth,0.000423781758828508
xlearners4,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.00102121966165793
athey2017estimation2,mse,500,10,0.5,0.276322050020099,0.991935964440927,0.644020188599825,0.710508623160422,1,kriging,1.80321663724015
athey2017estimation2,mse,500,10,0.5,0.212912078015506,0.997430883347988,0.451753598405048,0.0779802149627358,1,earth,1.22104611060847
athey2017estimation2,mse,500,10,0.5,5,10,0.05,0,0,notune,0.303642691897184
athey2017estimation2,mse,500,10,0.5,0.333554269745946,0.885581965791062,0.61106165475212,0.789076070999727,1,kriging,1.63770960916606
athey2017estimation2,mse,500,10,0.5,0.576501297065988,0.991032869322225,0.807391501963139,0.440751812187955,1,earth,1.63774920288077
athey2017estimation2,mse,500,10,0.5,5,10,0.05,0,0,notune,0.194621658859316
athey2017estimation1,mse,500,10,0.5,0.258022258989513,0.996415454661474,0.198480121325701,0.847901668166742,1,kriging,0.676921487347577
athey2017estimation1,mse,500,10,0.5,0.436960816150531,0.995442832354456,0.659772473620251,0.766370709054172,1,earth,1.01966701214153
athey2017estimation1,mse,500,10,0.5,5,10,0.05,0,0,notune,0.239108507782759
xlearners1,mse,500,10,0.5,0.10812616860494,0.135320801287889,0.544545975513756,0.979004852240905,1,kriging,17.8592683886099
xlearners1,mse,500,10,0.5,0.000993703724816442,0.0751167559064925,0.807932931464165,0.906007661484182,1,earth,18.3273736000569
xlearners1,mse,500,10,0.5,5,10,0.05,0,0,notune,18.8909573397268
xlearners6,mse,2000,20,0.5,0.401016344316304,0.88782811188139,0.264276045607403,0.999200373422354,1,kriging,2.33972440589292e-06
