data,stat,n,p,min.node.size,sample.fraction,mtry,alpha,imbalance.penalty,tuned,method,value
xlearners6,mse,500,20,5,0.5,20,0.05,0,0,kriging,1.95885523753162e-06
xlearners6,mse,500,20,0.862730412278324,0.5,0.0600152756087482,0.969265408348292,0.99784987536259,1,earth,6.53970243657092e-07
xlearners6,mse,500,20,5,0.5,20,0.05,0,0,notune,3.91506835835658e-06
athey2017estimation1,mse,500,10,0.5,0.323745531029999,0.692069771001115,0.780751595972106,0.692305679433048,1,kriging,1.02448560156296
athey2017estimation1,mse,500,10,0.5,0.732232612092048,0.994255180237815,0.509152378188446,0.374021901283413,1,earth,1.02388511086023
athey2017estimation1,mse,500,10,0.5,5,10,0.05,0,0,notune,0.0731707081115873
athey2015machine1,mse,2000,10,0.5,0.210345587460324,0.709124871063977,0.512146876659244,0.478538207709789,1,kriging,0.000231624427798655
athey2015machine1,mse,2000,10,0.5,0.00668789213523269,0.474270587554201,0.308220259146765,0.838097776519135,1,earth,0.460980615761558
athey2015machine1,mse,2000,10,0.5,5,10,0.05,0,0,notune,3.86162964965331
xlearners1,mse,500,10,0.5,0.0172248256858438,0.521379943937063,0.864785006269813,0.972233658656478,1,kriging,16.8561789265881
xlearners1,mse,500,10,0.5,0.0177210043184459,0.478411114308983,0.918710771715268,0.909666744060814,1,earth,16.6714166682192
xlearners1,mse,500,10,0.5,5,10,0.05,0,0,notune,16.2113187773857
athey2017estimation1,mse,500,10,0.5,0.44746449473314,0.853318159934133,0.535688548116013,0.495904805371538,1,kriging,1.01399330895866
athey2017estimation1,mse,500,10,0.5,0.688060075510293,0.996706832433119,0.904739445541054,0.902610499644652,1,earth,1.01413051019323
athey2017estimation1,mse,500,10,0.5,5,10,0.05,0,0,notune,0.089783089170175
xlearners1,mse,2000,10,0.5,0.0301756511908025,0.42297628428787,0.473525715991855,0.916928548365831,1,kriging,10.5905343796173
xlearners1,mse,2000,10,0.5,0.00987684400752187,0.0371405123732984,0.611767613561824,0.95407463167794,1,earth,16.0408828175693
xlearners1,mse,2000,10,0.5,5,10,0.05,0,0,notune,5.38490810285645
athey2017estimation1,mse,2000,10,0.5,0.54265291406773,0.821552927605808,0.481384632876143,0.464764510048553,1,kriging,0.62403578151469
athey2017estimation1,mse,2000,10,0.5,0.756029622396454,0.975838053505868,0.0288458596915007,0.120365447830409,1,earth,0.2665473670768
athey2017estimation1,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0332140640578235
xlearners6,mse,500,20,0.5,0.232173993485048,0.99739370169118,0.156580719631165,0.9729665806517,1,kriging,2.97857477943204e-06
xlearners6,mse,500,20,0.5,0.22642525844276,0.747935867402703,0.0960243435110897,0.729029911570251,1,earth,2.95345103542951e-06
xlearners6,mse,500,20,0.5,5,20,0.05,0,0,notune,2.50252174094249e-06
xlearners4,mse,2000,10,0.5,0.107404633192345,0.935787612339482,0.116159476572648,0.962833556812257,1,kriging,0.00300750618896973
xlearners4,mse,2000,10,0.5,0.0150788044556975,0.870179933030158,0.196564943296835,0.926745049888268,1,earth,0.00394722015816193
xlearners4,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.00449210277469371
xlearners1,mse,500,10,0.5,0.0476947675924748,0.215561490505934,0.479377245763317,0.945471294689924,1,kriging,15.6735889843722
xlearners1,mse,500,10,0.5,0.019085543230176,0.210177455795929,0.813861244358122,0.982405223185197,1,earth,17.9502687628368
xlearners1,mse,500,10,0.5,5,10,0.05,0,0,notune,16.3709162581159
xlearners4,mse,500,10,0.5,0.15282872505486,0.485345907276496,0.138281155843288,0.947133886395022,1,kriging,0.00271845997466213
xlearners4,mse,500,10,0.5,0.00257575535215437,0.0771388139110059,0.0268790842965245,0.965757620986551,1,earth,0.00234882617721234
xlearners4,mse,500,10,0.5,5,10,0.05,0,0,notune,0.0072503971515272
xlearners1,mse,500,10,0.5,0.0462551703676581,0.0529583871830255,0.757020469522104,0.721782352775335,1,kriging,16.4531884952912
xlearners1,mse,500,10,0.5,0.000242782756686211,0.503889332991093,0.665864994516596,0.948344801086932,1,earth,16.5920338378439
xlearners1,mse,500,10,0.5,5,10,0.05,0,0,notune,15.5594410297019
xlearners1,mse,2000,10,0.5,0.0829588484484702,0.801249223761261,0.783655616920441,0.949853790923953,1,kriging,16.192753301951
xlearners1,mse,2000,10,0.5,0.0133775933645666,0.963493194431067,0.269586106995121,0.8397543837782,1,earth,9.10970224236706
xlearners1,mse,2000,10,0.5,5,10,0.05,0,0,notune,2.94520887433115
athey2017estimation1,mse,2000,10,0.5,0.43562641995959,0.668633483350277,0.623696030816063,0.554824366001412,1,kriging,0.991715027224042
athey2017estimation1,mse,2000,10,0.5,0.675004104385152,0.966360983904451,0.562675947090611,0.67512252018787,1,earth,0.991729440103421
athey2017estimation1,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0547345102051732
athey2017estimation2,mse,2000,10,0.5,0.390169891528785,0.858349983114749,0.562747785123065,0.466915789758787,1,kriging,1.76944667139751
athey2017estimation2,mse,2000,10,0.5,0.618631165008992,0.985804823925719,0.358676371630281,0.903121643001214,1,earth,0.934723509659329
athey2017estimation2,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0616326155098843
athey2017estimation2,mse,500,10,0.5,0.324842697707936,0.935516264988109,0.751993587240577,0.395884917350486,1,kriging,1.75748746785422
athey2017estimation2,mse,500,10,0.5,0.00488522159866989,0.967671228107065,0.358874306082726,0.674831645796075,1,earth,1.20369599191789
athey2017estimation2,mse,500,10,0.5,5,10,0.05,0,0,notune,0.278544047328184
athey2017estimation1,mse,500,10,0.5,0.351353173144162,0.814748205943033,0.48955087759532,0.704576378455386,1,kriging,0.86698503649824
athey2017estimation1,mse,500,10,0.5,0.0994060705415905,0.706649442669004,0.346023657592013,0.329025459941477,1,earth,0.567319550118921
athey2017estimation1,mse,500,10,0.5,5,10,0.05,0,0,notune,0.066053699361177
xlearners4,mse,500,10,0.5,0.214506754186004,0.640161229064688,0.321640686364844,0.976447914959863,1,kriging,0.000247981877508239
xlearners4,mse,500,10,0.5,0.0186921602580696,0.925977522740141,0.0116686904802918,0.985739851836115,1,earth,0.00315383797091351
xlearners4,mse,500,10,0.5,5,10,0.05,0,0,notune,0.00605023172469383
xlearners6,mse,2000,20,5,0.5,20,0.05,0,0,kriging,7.43999488231438e-07
xlearners6,mse,2000,20,0.0189086771570146,0.5,0.305414020549506,0.264492754358798,0.97949243336916,1,earth,4.08230415318134e-08
xlearners6,mse,2000,20,5,0.5,20,0.05,0,0,notune,6.73935868987394e-08
athey2017estimation1,mse,2000,10,0.5,0.475871245609596,0.743695580167696,0.512078443774953,0.711771737551317,1,kriging,0.982277837381178
athey2017estimation1,mse,2000,10,0.5,0.0111985891126096,0.412996569415554,0.93767848238349,0.670252924552187,1,earth,0.982970755552739
athey2017estimation1,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0552954471110797
xlearners4,mse,2000,10,0.5,0.176384295802563,0.547313179355115,0.0259960689581931,0.998035560594872,1,kriging,0.00241534508212695
xlearners4,mse,2000,10,0.5,0.160980515182018,0.573115674313158,0.0238563905004412,0.99347406020388,1,earth,0.00285079323227053
xlearners4,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.00409272091788982
athey2017estimation2,mse,2000,10,0.5,0.300159373320639,0.761936479015276,0.446506388718262,0.511772038880736,1,kriging,1.00919421902768
athey2017estimation2,mse,2000,10,0.5,0.51010025292635,0.989812948741019,0.336156491190195,0.38592042773962,1,earth,0.913257923916863
athey2017estimation2,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0628845209437332
xlearners6,mse,500,20,0.5,0.0041851841378957,0.714447825215757,0.153161594644189,0.944257572526112,1,kriging,4.60838323103315e-06
xlearners6,mse,500,20,0.5,0.218571480363607,0.355152937350795,0.818403816083446,0.984353391220793,1,earth,1.53945602076287e-05
xlearners6,mse,500,20,0.5,5,20,0.05,0,0,notune,8.4920642507787e-07
xlearners6,mse,2000,20,0.5,0.462572831660509,0.914907863596454,0.18946524313651,0.973814942874014,1,kriging,1.57378893097713e-06
xlearners6,mse,2000,20,0.5,0.756370228948072,0.156383277848363,0.0722124301828444,0.0631152642890811,1,earth,3.98640683591612e-07
xlearners6,mse,2000,20,0.5,5,20,0.05,0,0,notune,2.05163158825667e-08
xlearners4,mse,2000,10,0.5,0.149625070625916,0.557547637959942,0.11398466816172,0.887676930287853,1,kriging,0.00409336963684294
xlearners4,mse,2000,10,0.5,0.00224440754391253,0.989150417270139,0.0170713630504906,0.854829928372055,1,earth,0.00360194510633215
xlearners4,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0046865908011873
xlearners4,mse,2000,10,0.5,0.169233672553673,0.599869226105511,0.152777230832726,0.953859728993848,1,kriging,0.000675229937630758
xlearners4,mse,2000,10,0.5,0.0174970906227827,0.297867162385955,0.0107220883946866,0.90443742275238,1,earth,0.00129029027209039
xlearners4,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.00202390985926941
athey2015machine1,mse,500,10,0.5,0.25138560612686,0.770060439128429,0.452991121681407,0.758350371615961,1,kriging,0.121984044881649
athey2015machine1,mse,500,10,0.5,0.177166973240674,0.600184301612899,0.896709920838475,0.929444479523227,1,earth,7.10624715083647e-05
athey2015machine1,mse,500,10,0.5,5,10,0.05,0,0,notune,2.55803028498223
athey2015machine1,mse,500,10,0.5,0.18261317233555,0.775858521461487,0.245651023695245,0.693480871384963,1,kriging,0.195135982558984
athey2015machine1,mse,500,10,0.5,0.0439150836318731,0.797711155610159,0.0370606519281864,0.924828597577289,1,earth,0.19619578805153
athey2015machine1,mse,500,10,0.5,5,10,0.05,0,0,notune,2.35340970078527
athey2015machine1,mse,500,10,0.5,0.322936182375997,0.815702466759831,0.310909178340808,0.350132305640727,1,kriging,0.281237064389437
athey2015machine1,mse,500,10,0.5,0.0164253490511328,0.717070554150268,0.964366501895711,0.829107019351795,1,earth,0.0170617275372733
athey2015machine1,mse,500,10,0.5,5,10,0.05,0,0,notune,3.05395550846301
xlearners6,mse,2000,20,0.5,0.588794815121219,0.663278675405309,0.584732580929995,0.782947482075542,1,kriging,5.68177250594997e-07
xlearners6,mse,2000,20,0.5,0.474155163159594,0.745922130998224,0.0733425342477858,0.992661112686619,1,earth,6.03042671874282e-06
xlearners6,mse,2000,20,0.5,5,20,0.05,0,0,notune,5.28165008459061e-08
xlearners6,mse,2000,20,0.5,0.312527475645766,0.404074848163873,0.441780212335289,0.970228732563555,1,kriging,6.07999285101964e-07
xlearners6,mse,2000,20,0.5,0.145837938413024,0.631772043416277,0.195282298140228,0.996527626411989,1,earth,1.8842001469822e-08
xlearners6,mse,2000,20,0.5,5,20,0.05,0,0,notune,1.19277818235152e-07
xlearners6,mse,500,20,5,0.5,20,0.05,0,0,kriging,7.22968670373034e-06
xlearners6,mse,500,20,0.0273677848745137,0.5,0.530944520840421,0.129001684254035,0.96676256111823,1,earth,2.90448553681514e-06
xlearners6,mse,500,20,5,0.5,20,0.05,0,0,notune,1.26483640356406e-06
xlearners6,mse,500,20,5,0.5,20,0.05,0,0,kriging,1.45455532720918e-05
xlearners6,mse,500,20,0.132149870274588,0.5,0.469220287399366,0.958940308075398,0.135843510273844,1,earth,1.94705042819871e-06
xlearners6,mse,500,20,5,0.5,20,0.05,0,0,notune,4.80153642904476e-06
